test_fold,val_fold,tau,beta,f1,iou,tau_beta0,f1_beta0,prior_gain
0,1,0.0,16.0,0.749189,0.598962,-0.5,0.726900,0.022289
0,2,-2.0,16.0,0.671509,0.505468,-2.0,0.635762,0.035747
0,3,-1.0,16.0,0.628906,0.458689,-1.0,0.602756,0.026150
0,4,0.0,16.0,0.724217,0.567664,0.0,0.684244,0.039973
1,0,-2.0,16.0,0.743405,0.591603,-2.0,0.713557,0.029848
1,2,0.0,16.0,0.799066,0.665370,0.0,0.769179,0.029887
1,3,-1.0,16.0,0.759244,0.611921,-1.0,0.735269,0.023975
1,4,-2.0,16.0,0.789495,0.652203,-2.0,0.767261,0.022234
2,0,0.0,16.0,0.732327,0.577694,0.0,0.716778,0.015548
2,1,0.0,16.0,0.760578,0.613655,-0.5,0.733340,0.027238
2,3,-1.0,16.0,0.693007,0.530230,-1.0,0.680319,0.012688
2,4,0.5,16.0,0.720347,0.562924,0.5,0.700354,0.019993
3,0,0.0,16.0,0.682548,0.518082,0.0,0.642366,0.040182
3,1,-1.0,16.0,0.728275,0.572667,-1.0,0.700775,0.027500
3,2,0.0,16.0,0.711460,0.552144,0.0,0.651058,0.060402
3,4,-2.0,16.0,0.654551,0.486492,-2.0,0.632961,0.021589
4,0,-2.0,16.0,0.791073,0.654359,-2.0,0.763691,0.027382
4,1,-1.0,16.0,0.690766,0.527611,-1.0,0.657602,0.033164
4,2,-1.0,16.0,0.719258,0.561594,-1.0,0.689963,0.029295
4,3,-0.5,16.0,0.779057,0.638078,-0.5,0.754503,0.024554
