solver,fold,tau,beta,f1,iou
icm,0,1.0,0.25,0.24822468635606695,0.14169892932200623
icm,1,1.0,0.25,0.2671478704117945,0.1541665707363498
icm,2,0.75,0.5,0.27336284235488545,0.1583209541996149
icm,3,0.75,0.5,0.27394119091215946,0.15870907148113186
icm,4,1.0,0.25,0.24772597028506788,0.14137398950400987
graphcut,0,0.75,8.0,0.2753188392364943,0.15963463015657478
graphcut,1,0.75,16.0,0.2751225772458472,0.15950268327273506
graphcut,2,0.75,8.0,0.30931617465168065,0.18295329381763883
graphcut,3,0.75,8.0,0.29694685269314586,0.1743614714330711
graphcut,4,0.75,8.0,0.2684028937380214,0.1550030851676729
