test_fold,val_fold,tau,beta,test_f1
0,1,0.75,8.0,0.2753188392364943
0,2,1.0,8.0,0.25247689308304294
0,3,1.0,8.0,0.25247689308304294
0,4,0.75,16.0,0.2689270144442056
1,0,0.75,8.0,0.29894233458714103
1,2,1.0,8.0,0.2931407617448883
1,3,1.0,8.0,0.2931407617448883
1,4,0.75,16.0,0.2751225772458472
2,0,0.75,8.0,0.30931617465168065
2,1,0.75,8.0,0.30931617465168065
2,3,1.0,8.0,0.3128114529700864
2,4,0.75,16.0,0.31071210418226863
3,0,0.75,8.0,0.29694685269314586
3,1,0.75,8.0,0.29694685269314586
3,2,1.0,8.0,0.30287985501175974
3,4,0.75,16.0,0.3006658114290852
4,0,0.75,8.0,0.2684028937380214
4,1,0.75,8.0,0.2684028937380214
4,2,1.0,8.0,0.25250761865369714
4,3,1.0,8.0,0.25250761865369714
