test_fold,val_fold,thr,f1,iou,stopped_at,best_val,first_nan_epoch,norm,weight_decay,clip
0,1,0.4,0.727408,0.571595,71,0.592887,,sum,0.0001,1.0
0,2,0.1,0.635915,0.466185,30,0.704438,,sum,0.0001,1.0
0,3,0.3,0.601772,0.430382,24,0.768569,,sum,0.0001,1.0
0,4,0.45,0.680791,0.516060,39,0.709377,,sum,0.0001,1.0
1,0,0.1,0.714911,0.556313,34,0.667763,,sum,0.0001,1.0
1,2,0.5,0.769179,0.624932,61,0.588904,,sum,0.0001,1.0
1,3,0.3,0.736693,0.583147,38,0.686152,,sum,0.0001,1.0
1,4,0.15,0.767694,0.622974,60,0.583892,,sum,0.0001,1.0
2,0,0.45,0.716388,0.558103,45,0.682674,,sum,0.0001,1.0
2,1,0.45,0.736746,0.583213,61,0.561488,,sum,0.0001,1.0
2,3,0.3,0.681520,0.516898,34,0.684456,,sum,0.0001,1.0
2,4,0.6,0.700158,0.538649,53,0.610943,,sum,0.0001,1.0
3,0,0.5,0.642366,0.473151,20,0.779628,,sum,0.0001,1.0
3,1,0.3,0.702002,0.540834,53,0.601261,,sum,0.0001,1.0
3,2,0.5,0.651058,0.482644,30,0.731135,,sum,0.0001,1.0
3,4,0.15,0.634455,0.464617,30,0.706994,,sum,0.0001,1.0
4,0,0.1,0.760615,0.613703,83,0.677168,,sum,0.0001,1.0
4,1,0.2,0.653463,0.485292,29,0.702511,,sum,0.0001,1.0
4,2,0.2,0.689556,0.526201,44,0.635071,,sum,0.0001,1.0
4,3,0.4,0.755562,0.607151,56,0.614735,,sum,0.0001,1.0
