test_fold,val_fold,thr,f1,iou,stopped_at,best_val,first_nan_epoch,norm,weight_decay,clip
0,1,0.15,0.509176,0.341540,35,1.095023,,sum,0.0001,1.0
0,2,0.5,0.550838,0.380108,49,1.025456,,sum,0.0001,1.0
0,3,0.1,0.515452,0.347212,35,1.037555,,sum,0.0001,1.0
0,4,0.45,0.508527,0.340956,48,1.066254,,sum,0.0001,1.0
1,0,0.35,0.366934,0.224690,15,1.223152,,sum,0.0001,1.0
1,2,0.1,0.546778,0.376252,31,1.028319,,sum,0.0001,1.0
1,3,0.45,0.492495,0.326695,45,1.097829,,sum,0.0001,1.0
1,4,0.35,0.564336,0.393084,56,0.987894,,sum,0.0001,1.0
2,0,0.25,0.509533,0.341862,45,1.062676,,sum,0.0001,1.0
2,1,0.15,0.540441,0.370277,60,0.942773,,sum,0.0001,1.0
2,3,0.3,0.541009,0.370810,36,0.990073,,sum,0.0001,1.0
2,4,0.4,0.571396,0.399968,55,0.973140,,sum,0.0001,1.0
3,0,0.65,0.577813,0.406285,50,1.022811,,sum,0.0001,1.0
3,1,0.25,0.517174,0.348776,58,1.044121,,sum,0.0001,1.0
3,2,0.2,0.557054,0.386053,55,0.940579,,sum,0.0001,1.0
3,4,0.2,0.473505,0.310191,35,1.085101,,sum,0.0001,1.0
4,0,0.6,0.523509,0.354563,47,0.985131,,sum,0.0001,1.0
4,1,0.2,0.550133,0.379437,44,0.978070,,sum,0.0001,1.0
4,2,0.3,0.536882,0.366944,45,0.970158,,sum,0.0001,1.0
4,3,0.3,0.532741,0.363086,51,0.919148,,sum,0.0001,1.0
