test_fold,val_fold,tau,beta,f1,iou,tau_beta0,f1_beta0,prior_gain
0,1,-2.0,64.0,0.745088,0.593737,-0.5,0.726899,0.018189
0,2,0.0,32.0,0.778884,0.637846,0.0,0.751019,0.027865
0,3,-2.0,64.0,0.765844,0.620540,-2.0,0.701416,0.064428
0,4,-0.5,64.0,0.807161,0.676672,0.0,0.769463,0.037698
1,0,0.0,64.0,0.779399,0.638536,-0.5,0.768670,0.010729
1,2,-2.0,64.0,0.745354,0.594075,-2.0,0.684861,0.060493
1,3,-2.0,64.0,0.814308,0.686779,-1.0,0.771295,0.043013
1,4,0.0,64.0,0.799137,0.665468,1.0,0.773688,0.025449
2,0,1.0,32.0,0.709032,0.549225,1.0,0.673286,0.035745
2,1,0.5,32.0,0.798846,0.665066,1.0,0.774114,0.024733
2,3,-0.5,64.0,0.737008,0.583541,1.0,0.730042,0.006966
2,4,-2.0,64.0,0.749108,0.598859,-1.0,0.723965,0.025142
3,0,-0.5,64.0,0.717963,0.560018,-1.0,0.695398,0.022565
3,1,-1.0,64.0,0.777333,0.635768,-0.5,0.717726,0.059607
3,2,-1.0,64.0,0.744613,0.593135,-1.0,0.712984,0.031629
3,4,-2.0,64.0,0.775666,0.633542,0.0,0.748659,0.027007
4,0,-1.0,64.0,0.754360,0.605600,0.5,0.715857,0.038503
4,1,0.0,32.0,0.713178,0.554216,0.0,0.669819,0.043359
4,2,-0.5,64.0,0.762532,0.616203,1.0,0.736317,0.026215
4,3,-2.0,64.0,0.775107,0.632795,-1.0,0.725336,0.049770
