  fold 0 ep 1/60  train 1.2045  val 1.1704  (69s)
  fold 0 ep 2/60  train 1.1209  val 1.0814  (67s)
  fold 0 ep 3/60  train 1.0664  val 1.6142  (67s)
  fold 0 ep 4/60  train 1.0173  val 1.0368  (67s)
  fold 0 ep 5/60  train 0.9664  val 0.9225  (67s)
  fold 0 ep 6/60  train 0.9935  val 0.9835  (67s)
  fold 0 ep 7/60  train 0.9721  val 0.9705  (67s)
  fold 0 ep 8/60  train 0.9381  val 0.9596  (67s)
  fold 0 ep 9/60  train 0.9236  val 0.9951  (67s)
  fold 0 ep 10/60  train 0.8831  val 0.8384  (67s)
  fold 0 ep 11/60  train 0.8386  val 0.8947  (67s)
  fold 0 ep 12/60  train 0.8314  val 0.8700  (67s)
  fold 0 ep 13/60  train 0.7828  val 0.7843  (67s)
  fold 0 ep 14/60  train 0.7441  val 0.8152  (67s)
  fold 0 ep 15/60  train 0.7202  val 0.7411  (67s)
  fold 0 ep 16/60  train 0.6911  val 0.7190  (67s)
  fold 0 ep 17/60  train 0.6701  val 0.7156  (67s)
  fold 0 ep 18/60  train 0.6714  val 0.7560  (67s)
  fold 0 ep 19/60  train 0.6492  val 0.7360  (67s)
  fold 0 ep 20/60  train 0.6309  val 0.6649  (67s)
  fold 0 ep 21/60  train 0.6304  val 0.6812  (67s)
  fold 0 ep 22/60  train 0.6241  val 0.7353  (67s)
  fold 0 ep 23/60  train 0.6138  val 0.6609  (67s)
  fold 0 ep 24/60  train 0.5956  val 0.6919  (67s)
  fold 0 ep 25/60  train 0.5869  val 0.8072  (67s)
  fold 0 ep 26/60  train 0.5974  val 0.6747  (67s)
  fold 0 ep 27/60  train 0.5880  val 0.7673  (67s)
  fold 0 ep 28/60  train 0.5540  val 0.6565  (67s)
  fold 0 ep 29/60  train 0.5372  val 0.6495  (67s)
  fold 0 ep 30/60  train 0.5228  val 0.6217  (67s)
  fold 0 ep 31/60  train 0.5140  val 0.6109  (67s)
  fold 0 ep 32/60  train 0.4960  val 0.5797  (67s)
  fold 0 ep 33/60  train 0.4988  val 0.5929  (67s)
  fold 0 ep 34/60  train 0.4839  val 0.6214  (67s)
  fold 0 ep 35/60  train 0.4822  val 0.6128  (67s)
  fold 0 ep 36/60  train 0.4600  val 0.6011  (67s)
  fold 0 ep 37/60  train 0.4534  val 0.5937  (67s)
  fold 0 ep 38/60  train 0.4456  val 0.5931  (67s)
  fold 0 ep 39/60  train 0.4308  val 0.5928  (67s)
  fold 0 ep 40/60  train 0.4204  val 0.5700  (67s)
  fold 0 ep 41/60  train 0.4248  val 0.5762  (67s)
  fold 0 ep 42/60  train 0.4153  val 0.6037  (67s)
  fold 0 ep 43/60  train 0.4050  val 0.5624  (67s)
  fold 0 ep 44/60  train 0.3994  val 0.5645  (67s)
  fold 0 ep 45/60  train 0.3909  val 0.5982  (67s)
  fold 0 ep 46/60  train 0.3945  val 0.5767  (67s)
  fold 0 ep 47/60  train 0.3918  val 0.5879  (67s)
  fold 0 ep 48/60  train 0.3953  val 0.6007  (67s)
  fold 0 ep 49/60  train 0.3999  val 0.6081  (67s)
  fold 0 ep 50/60  train 0.3986  val 0.5900  (68s)
  fold 0 ep 51/60  train 0.3933  val 0.5968  (68s)
  early stop at epoch 51 (best val 0.5624)
