  t0v1 ep 1/60  train 1.2078  val 1.1871  (71s)
  t0v1 ep 2/60  train 1.1375  val 1.1139  (69s)
  t0v1 ep 3/60  train 1.0949  val 1.1692  (69s)
  t0v1 ep 4/60  train 1.0562  val 0.9973  (69s)
  t0v1 ep 5/60  train 1.0019  val 0.9824  (69s)
  t0v1 ep 6/60  train 0.9627  val 1.1553  (69s)
  t0v1 ep 7/60  train 0.9150  val 0.9033  (69s)
  t0v1 ep 8/60  train 0.8759  val 0.8280  (69s)
  t0v1 ep 9/60  train 0.8420  val 0.7906  (69s)
  t0v1 ep 10/60  train 0.8148  val 0.8533  (69s)
  t0v1 ep 11/60  train 0.7748  val 0.7691  (69s)
  t0v1 ep 12/60  train 0.7542  val 0.7837  (69s)
  t0v1 ep 13/60  train 0.7288  val 0.7645  (69s)
  t0v1 ep 14/60  train 0.7260  val 0.7426  (69s)
  t0v1 ep 15/60  train 0.6943  val 0.7073  (69s)
  t0v1 ep 16/60  train 0.6753  val 0.7261  (69s)
  t0v1 ep 17/60  train 0.6572  val 0.7162  (69s)
  t0v1 ep 18/60  train 0.6441  val 0.7131  (69s)
  t0v1 ep 19/60  train 0.6242  val 0.7181  (69s)
  t0v1 ep 20/60  train 0.6167  val 0.7237  (69s)
  t0v1 ep 21/60  train 0.6018  val 0.6996  (69s)
  t0v1 ep 22/60  train 0.5910  val 0.6885  (69s)
  t0v1 ep 23/60  train 0.5767  val 0.7366  (69s)
  t0v1 ep 24/60  train 0.5657  val 0.6407  (69s)
  t0v1 ep 25/60  train 0.5572  val 0.7504  (69s)
  t0v1 ep 26/60  train 0.5509  val 0.6311  (69s)
  t0v1 ep 27/60  train 0.5284  val 0.6931  (69s)
  t0v1 ep 28/60  train 0.5315  val 0.6486  (69s)
  t0v1 ep 29/60  train 0.5165  val 0.6872  (69s)
  t0v1 ep 30/60  train 0.5000  val 0.6483  (69s)
  t0v1 ep 31/60  train 0.4947  val 0.6265  (69s)
  t0v1 ep 32/60  train 0.4843  val 0.6321  (69s)
  t0v1 ep 33/60  train 0.4794  val 0.6443  (69s)
  t0v1 ep 34/60  train 0.4621  val 0.6407  (69s)
  t0v1 ep 35/60  train 0.4625  val 0.6412  (69s)
  t0v1 ep 36/60  train 0.4538  val 0.6180  (69s)
  t0v1 ep 37/60  train 0.4469  val 0.6060  (69s)
  t0v1 ep 38/60  train 0.4383  val 0.6301  (69s)
  t0v1 ep 39/60  train 0.4261  val 0.6100  (69s)
  t0v1 ep 40/60  train 0.4269  val 0.6077  (69s)
  t0v1 ep 41/60  train 0.4218  val 0.6113  (69s)
  t0v1 ep 42/60  train 0.4120  val 0.6451  (69s)
  t0v1 ep 43/60  train 0.4064  val 0.6027  (69s)
  t0v1 ep 44/60  train 0.4003  val 0.6140  (69s)
  t0v1 ep 45/60  train 0.4004  val 0.6228  (69s)
  t0v1 ep 46/60  train 0.3911  val 0.6076  (69s)
  t0v1 ep 47/60  train 0.3914  val 0.6021  (69s)
  t0v1 ep 48/60  train 0.3771  val 0.5997  (69s)
  t0v1 ep 49/60  train 0.3841  val 0.5981  (69s)
  t0v1 ep 50/60  train 0.3705  val 0.5971  (69s)
  t0v1 ep 51/60  train 0.3778  val 0.6129  (69s)
  t0v1 ep 52/60  train 0.3722  val 0.5941  (69s)
  t0v1 ep 53/60  train 0.3632  val 0.5959  (69s)
  t0v1 ep 54/60  train 0.3691  val 0.5906  (69s)
  t0v1 ep 55/60  train 0.3674  val 0.5982  (69s)
  t0v1 ep 56/60  train 0.3613  val 0.5996  (69s)
  t0v1 ep 57/60  train 0.3636  val 0.5967  (69s)
  t0v1 ep 58/60  train 0.3670  val 0.5938  (69s)
  t0v1 ep 59/60  train 0.3668  val 0.5908  (69s)
  t0v1 ep 60/60  train 0.3619  val 0.5912  (69s)
