  t0v1 ep 1/60  train 1.2078  val 1.1871  (72s)
  t0v1 ep 2/60  train 1.1375  val 1.1139  (69s)
  t0v1 ep 3/60  train 1.0949  val 1.1692  (69s)
  t0v1 ep 4/60  train 1.0562  val 0.9973  (68s)
  t0v1 ep 5/60  train 1.0019  val 0.9824  (69s)
  t0v1 ep 6/60  train 0.9627  val 1.1553  (69s)
  t0v1 ep 7/60  train 0.9150  val 0.9033  (69s)
  t0v1 ep 8/60  train 0.8759  val 0.8280  (69s)
  t0v1 ep 9/60  train 0.8420  val 0.7906  (69s)
  t0v1 ep 10/60  train 0.8148  val 0.8533  (69s)
  t0v1 ep 11/60  train 0.7748  val 0.7691  (69s)
