  t0v1 ep 1/60  train 1.2091  val 1.2376  (76s)
  t0v1 ep 2/60  train 1.1401  val 1.1000  (73s)
  t0v1 ep 3/60  train 1.0818  val 1.0745  (73s)
  t0v1 ep 4/60  train 1.0350  val 0.9796  (73s)
  t0v1 ep 5/60  train 0.9915  val 0.9495  (73s)
  t0v1 ep 6/60  train 0.9542  val 0.9692  (73s)
  t0v1 ep 7/60  train 0.9053  val 0.8530  (73s)
  t0v1 ep 8/60  train 0.8622  val 0.8248  (73s)
  t0v1 ep 9/60  train 0.8336  val 0.7932  (73s)
  t0v1 ep 10/60  train 0.8046  val 0.7515  (73s)
  t0v1 ep 11/60  train 0.7643  val 0.7513  (73s)
  t0v1 ep 12/60  train 0.7527  val 0.7397  (73s)
  t0v1 ep 13/60  train 0.7268  val 0.7332  (73s)
  t0v1 ep 14/60  train 0.7243  val 0.7454  (73s)
  t0v1 ep 15/60  train 0.7042  val 0.8035  (73s)
  t0v1 ep 16/60  train 0.7158  val 0.7395  (73s)
  t0v1 ep 17/60  train 0.7265  val 0.7555  (73s)
  t0v1 ep 18/60  train 0.7181  val 0.7130  (73s)
  t0v1 ep 19/60  train 0.7078  val 0.6784  (88s)
  t0v1 ep 20/60  train 0.6882  val 0.7492  (73s)
  t0v1 ep 21/60  train 0.6710  val 0.7125  (73s)
  t0v1 ep 22/60  train 0.6546  val 0.6948  (73s)
  t0v1 ep 23/60  train 0.6363  val 0.7009  (73s)
  t0v1 ep 24/60  train 0.6352  val 0.6719  (73s)
  t0v1 ep 25/60  train 0.6303  val 0.6883  (73s)
  t0v1 ep 26/60  train 0.6384  val 0.7201  (73s)
  t0v1 ep 27/60  train 0.6415  val 0.7754  (73s)
  t0v1 ep 28/60  train 0.6867  val 0.6994  (73s)
  t0v1 ep 29/60  train 0.6584  val 0.8095  (73s)
  t0v1 ep 30/60  train 0.6148  val 0.7491  (73s)
  t0v1 ep 31/60  train 0.5985  val 0.6573  (73s)
  t0v1 ep 32/60  train 0.5793  val 0.6936  (73s)
  t0v1 ep 33/60  train 0.5647  val 0.6227  (73s)
  t0v1 ep 34/60  train 0.5483  val 0.6546  (73s)
  t0v1 ep 35/60  train 0.5396  val 0.6226  (73s)
  t0v1 ep 36/60  train 0.5301  val 0.6503  (74s)
  t0v1 ep 37/60  train 0.5274  val 0.6390  (74s)
  t0v1 ep 38/60  train 0.5283  val 0.6567  (74s)
  t0v1 ep 39/60  train 0.5081  val 0.6591  (74s)
  t0v1 ep 40/60  train 0.5057  val 0.6242  (74s)
  t0v1 ep 41/60  train 0.5005  val 0.6128  (74s)
  t0v1 ep 42/60  train 0.4904  val 0.6388  (74s)
  t0v1 ep 43/60  train 0.4813  val 0.6143  (81s)
  t0v1 ep 44/60  train 0.4707  val 0.6551  (87s)
  t0v1 ep 45/60  train 0.4689  val 0.5984  (88s)
  t0v1 ep 46/60  train 0.4628  val 0.5992  (90s)
  t0v1 ep 47/60  train 0.4543  val 0.6026  (99s)
  t0v1 ep 48/60  train 0.4440  val 0.6010  (73s)
  t0v1 ep 49/60  train 0.4468  val 0.5912  (142s)
  t0v1 ep 50/60  train 0.4377  val 0.5865  (166s)
